"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
